city,country,population,area,pollutant,year,emissions
Kabul,Afghanistan,4604344.157,707,CO,1970,4174.071777
Oran,Algeria,1332318.687,465,CO,1970,1.651054621
Algiers,Algeria,4921385.25,1802,CO,1970,8.811347961
Luanda,Angola,7308152.208,1941,CO,1970,3.45E-04
Mendoza,Argentina,1139081.554,911,CO,1970,0
San Miguel de Tucumán,Argentina,1074939.051,1159,CO,1970,0.152444988
Cordoba,Argentina,1617671.656,1698,CO,1970,3596.953613
Rosario,Argentina,1336722.5,1444,CO,1970,1750.727661
Buenos Aires,Argentina,14984068.9,5376,CO,1970,2.854209661
Yerevan,Armenia,1356806.651,665,CO,1970,21.64580917
Perth,Australia,1676528.559,2972,CO,1970,18610.11133
Adelaide,Australia,1384068.224,4026,CO,1970,4.358421803
Melbourne,Australia,4474593.5,8348,CO,1970,1.260846138
Sydney,Australia,4404986.392,3881,CO,1970,0.290804029
Brisbane,Australia,2150602.637,3144,CO,1970,2.049545765
Vienna,Austria,2381082.929,3104,CO,1970,25.79989243
Baku,Azerbaijan,2741763.271,1210,CO,1970,7.520900726
Manama,Bahrain,1369162.169,670,CO,1970,0.572561443
Rajshahi,Bangladesh,1081657.576,448,CO,1970,4.312491894
Bogura,Bangladesh,1955452.196,1033,CO,1970,4.002081871
Sirajganj,Bangladesh,2631728.466,1310,CO,1970,0.785668194
Tangail,Bangladesh,1485869.019,785,CO,1970,0.144539699
Mymensingh,Bangladesh,1150722.514,484,CO,1970,2.355068207
Khulna,Bangladesh,1408217.825,371,CO,1970,1.758319497
Dhaka,Bangladesh,1721611.743,610,CO,1970,1.068880081
Dhaka,Bangladesh,3075402.547,1377,CO,1970,6.132081985
Dhaka,Bangladesh,20392157.11,3268,CO,1970,32.10131073
Dhaka,Bangladesh,1548886.705,505,CO,1970,3.452069759
Kishoreganj,Bangladesh,1035698.081,550,CO,1970,2.850111961
Brahmanbaria,Bangladesh,2480649.068,1121,CO,1970,18.35806656
Comilla,Bangladesh,8812244.067,4493,CO,1970,29.7089138
Lakshmipur,Bangladesh,1291110.728,632,CO,1970,1.291595697
Sylhet,Bangladesh,1390248.898,503,CO,1970,1.665947914
Chattogram,Bangladesh,5964578.131,1591,CO,1970,3.51710701
Minsk,Belarus,2137264.685,1582,CO,1970,84.31275177
Antwerp,Belgium,1817176.415,2393,CO,1970,18.26262665
Brussels,Belgium,2269665.213,1851,CO,1970,13.44352531
Liège,Belgium,1129391.829,2710,CO,1970,8.772626877
Cotonou,Benin,1828526.291,521,CO,1970,0
El Alto [La Paz],Bolivia,1772263.303,745,CO,1970,0.055683605
Cochabamba,Bolivia,1227385.363,870,CO,1970,0.279477447
Santa Cruz de la Sierra,Bolivia,1762054.234,817,CO,1970,0.067262962
Manaus,Brazil,2080861.009,453,CO,1970,1431.815308
Belém,Brazil,2174968.088,587,CO,1970,22.37355232
Goiânia,Brazil,2248199.073,1842,CO,1970,0.295693994
Ceilândia,Brazil,1973463.719,867,CO,1970,221.8012238
Porto Alegre,Brazil,2907003.908,1373,CO,1970,0
Curitiba,Brazil,3033042.205,1593,CO,1970,1052.33606
Campinas,Brazil,2509882.224,1571,CO,1970,238.2472687
São Paulo,Brazil,21684522.82,6077,CO,1970,4054.178711
São Luís,Brazil,1455771.21,555,CO,1970,0
Santos,Brazil,1712548.224,722,CO,1970,3.466663122
Teresina,Brazil,1036955.52,1028,CO,1970,10.86706257
Belo Horizonte,Brazil,4966926.832,3099,CO,1970,50.26462936
Rio de Janeiro,Brazil,10814391.23,3598,CO,1970,1828.84021
Sao Goncalo,Brazil,1998757.606,1215,CO,1970,3.285411596
Vila Velha,Brazil,1710333.441,911,CO,1970,8.380131721
Fortaleza,Brazil,3611864.227,1557,CO,1970,378.0284119
Salvador,Brazil,3252523.078,623,CO,1970,2.483716726
Maceió,Brazil,1184064.69,682,CO,1970,0.010155362
Natal,Brazil,1321459.966,694,CO,1970,1292.503662
Recife,Brazil,3679510.146,1262,CO,1970,4.666448116
João Pessoa,Brazil,1124050.371,446,CO,1970,8.887996674
Sofia,Bulgaria,1423934.914,1352,CO,1970,6.885378361
Ouagadougou,BurkinaFaso,2813684.249,908,CO,1970,0
Phnom Penh,Cambodia,2140599.395,720,CO,1970,4.094326019
Douala,Cameroon,3002078.173,360,CO,1970,0
Yaounde,Cameroon,3547917.376,572,CO,1970,0
Garoua,Cameroon,1100720.356,91,CO,1970,0.148071751
Vancouver,Canada,2407755.768,1601,CO,1970,1402.635986
Calgary,Canada,1382751.206,2051,CO,1970,3786.029785
Edmonton,Canada,1232005.127,2816,CO,1970,6810.067871
Toronto,Canada,7278248.435,8223,CO,1970,6.683027744
Ottawa,Canada,1277528.023,2325,CO,1970,298.927948
Montreal,Canada,4089586.487,5027,CO,1970,3803.735596
Bangui,CentralAfricanRepublic,1048483.327,155,CO,1970,0
N'Djamena,Chad,1370021.331,258,CO,1970,0
Viña del Mar [Valparaíso],Chile,1008041.394,788,CO,1970,0.24969399
Santiago,Chile,7087659.555,2923,CO,1970,2.017620564
Ürümqi,China,3279549.977,1047,CO,1970,20155.64258
Xining,China,1414920.697,569,CO,1970,8256.987305
Lanzhou,China,2585524.218,871,CO,1970,4585.038574
Yinchuan,China,1704007.098,1012,CO,1970,9.658003807
Baotou,China,2206063.069,638,CO,1970,30.41072464
Hohhot,China,2130821.856,856,CO,1970,46.16378021
Chengdu,China,11749963.15,4034,CO,1970,28.32205391
Mianyang,China,1129793.163,649,CO,1970,1.625310302
Baoji,China,1182083.704,693,CO,1970,13.00625992
Datong,China,1733548.666,827,CO,1970,8.388011932
Kunming,China,3554514.061,1384,CO,1970,4531.451172
Xi'an,China,6576880.035,2083,CO,1970,36.9889183
Taiyuan,China,3818782.528,1065,CO,1970,17.00621796
Chongqing,China,6036834.034,2267,CO,1970,19.13538742
Beijing,China,21279474.48,5536,CO,1970,31.83138657
Shijiazhuang,China,4232106.67,1780,CO,1970,20.35635948
Baoding,China,1697773.419,905,CO,1970,13.99536896
Zunyi,China,1079361.073,511,CO,1970,3.24049592
Guiyang,China,3244349.999,1223,CO,1970,12.318367
Xingtai,China,1111698.43,674,CO,1970,11.12958717
Luoyang,China,2359897.526,1115,CO,1970,6.882842064
Jiaozuo,China,1414484.642,843,CO,1970,9.086287498
Handan,China,1698252.072,856,CO,1970,5.826148033
Tianjin,China,8317096.114,2413,CO,1970,22.11699867
Anyang,China,1562152.211,951,CO,1970,5.629839897
Xinxiang,China,2044707.246,1214,CO,1970,7.46320343
Tangshan,China,2358087.33,1676,CO,1970,25.36429214
Zhengzhou,China,5884051.262,2310,CO,1970,20.12564468
Binhai,China,2004427.099,993,CO,1970,11.28228283
Nanyang,China,1261384.991,878,CO,1970,5.831708431
Pingdingshan,China,1018607.284,435,CO,1970,1.21634829
Harbin,China,4590552.644,1548,CO,1970,21.97472382
Fancheng,China,1401398.912,930,CO,1970,10.66142559
Xuchang,China,1021674.003,657,CO,1970,3.765668392
Yichang,China,1019239.068,639,CO,1970,0.510618627
Qinhuangdao,China,1044685.585,443,CO,1970,9.878829002
Jinzhou,China,1171199.295,575,CO,1970,7.538526535
Luohe,China,1188290.358,852,CO,1970,5.436435699
Jinan,China,4264024.412,1923,CO,1970,11.63910198
Changchun,China,3868822.154,1847,CO,1970,21.97620392
Tai'an,China,1006438.023,562,CO,1970,2.213834524
Shangqiu,China,1136814.744,1005,CO,1970,4.638484955
Shenyang,China,6219708.348,2024,CO,1970,32.81650925
Jining,China,1023093.189,525,CO,1970,2.439169884
Zibo,China,3699954.753,2900,CO,1970,12.6761694
Nanning,China,2818094.814,927,CO,1970,15.53326607
Fushun,China,1470959.826,837,CO,1970,11.81617546
Anshan,China,1846134.212,759,CO,1970,6.358707428
Jilin,China,1690756.194,659,CO,1970,4.068246841
Liuzhou,China,1737108.201,773,CO,1970,6.933979988
Guilin,China,1311446.362,947,CO,1970,6.572627068
Shaoyang,China,1000825.594,567,CO,1970,2.235479355
Weifang,China,1768060.188,1230,CO,1970,10.06379128
Fuyang,China,1100943.668,783,CO,1970,2.714407682
Dalian,China,3668893.679,1290,CO,1970,15.49145508
市中区,China,1670203.656,1572,CO,1970,6.529528141
Wuhan,China,8534060.737,2682,CO,1970,7.928227901
Huaibei,China,1220714.564,607,CO,1970,1.249955297
Xuzhou,China,2483179.901,1607,CO,1970,4.799791336
Linyi,China,2405441.976,1815,CO,1970,16.71870232
Changsha,China,3904010.583,1496,CO,1970,3.416877747
Xiangtan,China,1228014.291,823,CO,1970,4.499286652
Yulin,China,1285290.544,814,CO,1970,7.3109622
Zhuzhou,China,1182940.347,521,CO,1970,0.799355865
Hengyang,China,1340729.874,968,CO,1970,2.436579227
Yantai,China,2046203.979,1522,CO,1970,13.88412666
Tianjia‘an,China,1591003.12,895,CO,1970,1.546099305
Huangshi,China,1403773.443,1089,CO,1970,2.109572411
Bengbu,China,1195820.092,795,CO,1970,3.991584063
Qingdao,China,4856058.042,2542,CO,1970,19.90965652
Huangdao,China,1072374.952,753,CO,1970,2.855526686
Zhanjiang,China,1204127.266,612,CO,1970,10.14702702
Hefei,China,4730879.858,2608,CO,1970,7.725662231
Maoming,China,1031334.507,545,CO,1970,8.315519333
Haikou,China,1920718.475,701,CO,1970,12.17983723
Huai'an,China,1577760.994,868,CO,1970,8.296684265
